id;project_id;name;segment;created
8363276;3155332;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 09:27
8363322;3155349;evalbidsNewRelevanceOrder;default;2025-7-3, 09:40
8363403;3155371;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 10:01
8363425;3155383;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 10:08
8363475;3155397;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 10:20
8363502;3155409;evalbidsNewRelevanceOrder;default;2025-7-3, 10:26
8363533;3155418;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 10:34
8363602;3155440;evalbidsNewRelevanceOrder;default;2025-7-3, 10:52
8363614;3155446;evalbidsNewRelevanceOrder;default;2025-7-3, 10:56
8363657;3155460;evalbidsNewRelevanceOrder;default;2025-7-3, 11:07
8363710;3155475;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:20
8363761;3155493;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:33
8363766;3155495;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:34
8363779;3155497;evalbidsNewRelevanceOrder;default;2025-7-3, 11:37
8363796;3155502;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:41
8363821;3155508;evalbidsNewRelevanceOrder;default;2025-7-3, 11:47
8363863;3155523;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:56
8363867;3155524;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 11:58
8363959;3155555;evalbidsNewRelevanceOrder;default;2025-7-3, 12:24
8363997;3155571;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 12:33
8364061;3155597;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 12:48
8364163;3155627;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 13:13
8364191;3155633;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 13:19
8364208;3155644;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 13:24
8364213;3155646;evalbidsNewRelevanceOrder;default;2025-7-3, 13:25
8364336;3155680;evalbidsNewRelevanceOrder;default;2025-7-3, 13:50
8364346;3155684;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 13:51
8364353;3155686;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 13:52
8364369;3155693;evalbidsNewRelevanceOrder;default;2025-7-3, 13:57
8364405;3155701;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 14:05
8364441;3155716;evalbidsNewRelevanceOrder;default;2025-7-3, 14:10
8364495;3155734;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 14:19
8364530;3155751;evalbidsNewRelevanceOrder;default;2025-7-3, 14:24
8364645;3155790;evalbidsNewRelevanceOrder;default;2025-7-3, 14:44
8364676;3155797;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 14:50
8364683;3155801;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 14:51
8364687;3155804;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 14:52
8364819;3155845;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 15:15
8364883;3155868;evalbidsNewRelevanceOrder;default;2025-7-3, 15:27
8364885;3155869;evalbidsNewRelevanceOrder;default;2025-7-3, 15:27
8364945;3155886;evalbidsNewRelevanceOrder;default;2025-7-3, 15:44
8365029;3155915;evalbidsNewRelevanceOrder;default;2025-7-3, 15:59
8365099;3155941;evalbidsNewRelevanceOrder;default;2025-7-3, 16:17
8365138;3155951;evalbidsNewRelevanceOrder;default;2025-7-3, 16:24
8365165;3155958;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 16:29
8365247;3155978;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 16:45
8365324;3155993;evalbidsNewRelevanceOrder;default;2025-7-3, 17:05
8365425;3156016;evalbidsNewRelevanceOrder;default;2025-7-3, 17:32
8365428;3156017;evalbidsNewRelevanceOrder;default;2025-7-3, 17:32
8365448;3156030;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 17:39
8365453;3156032;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 17:40
8365463;3156035;evalbidsNewRelevanceOrder;default;2025-7-3, 17:42
8365473;3156038;evalbidsNewRelevanceOrder;default;2025-7-3, 17:44
8365499;3156049;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 17:52
8365541;3156055;evalbidsNewRelevanceOrder;default;2025-7-3, 18:02
8365570;3156064;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 18:09
8365623;3156080;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 18:21
8365767;3156126;evalbidsNewRelevanceOrder;default;2025-7-3, 19:03
8365779;3156131;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 19:06
8365880;3156155;evalbidsNewRelevanceOrder;default;2025-7-3, 19:36
8365903;3156165;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 19:41
8366089;3156218;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 20:32
8366184;3156241;evalbidsNewRelevanceOrder;default;2025-7-3, 21:06
8366223;3156251;evalbidsNewRelevanceOrder;default;2025-7-3, 21:15
8366246;3156257;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 21:23
8366257;3156260;evalbidsNewRelevanceOrder;default;2025-7-3, 21:27
8366267;3156263;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 21:30
8366321;3156273;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 21:49
8366359;3156287;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 22:03
8366363;3156288;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 22:03
8366389;3156294;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 22:13
8366392;3156295;evalbidsNewRelevanceOrder;default;2025-7-3, 22:14
8366502;3156322;evalbidsNewRelevanceOrder;default;2025-7-3, 22:56
8366594;3156339;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 23:38
8366605;3156341;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-3, 23:46
8366808;3156389;evalbidsNewRelevanceOrder;default;2025-7-4, 01:31
8366834;3156396;evalbidsNewRelevanceOrder;default;2025-7-4, 01:50
8366883;3156401;evalbidsNewRelevanceOrder;default;2025-7-4, 02:20
8366903;3156406;evalbidsNewRelevanceOrder;default;2025-7-4, 02:42
8366910;3156408;evalbidsNewRelevanceOrder;default;2025-7-4, 02:43
8367041;3156442;evalbidsNewRelevanceOrder;default;2025-7-4, 05:07
8367045;3156443;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-4, 05:08
8367150;3156466;evalbidsNewRelevanceOrder;evalbidsNewOrder;2025-7-4, 07:03
8367154;3156468;evalbidsNewRelevanceOrder;default;2025-7-4, 07:05
