id;project_id;worker_id;status;usd_amount;worker_position_label;created;created_date
26193639;3162266;8908794;acceptable;1770;hero;2025-7-10, 00:01;10/07/2025
26193647;3161599;9467779;acceptable;61,6;iron;2025-7-10, 00:03;10/07/2025
26193644;3162315;9753868;acceptable;64,47;bronze;2025-7-10, 00:03;10/07/2025
26193648;3162315;7997711;acceptable;80;hero;2025-7-10, 00:04;10/07/2025
26193652;3162229;7997711;acceptable;40,01;hero;2025-7-10, 00:05;10/07/2025
26193655;3162317;324717;acceptable;100,44;iron;2025-7-10, 00:06;10/07/2025
26193664;3160725;10438934;acceptable;31,38;bronze;2025-7-10, 00:09;10/07/2025
26193666;3161900;7797431;acceptable;;iron;2025-7-10, 00:11;10/07/2025
26193677;3161543;7797431;acceptable;80;iron;2025-7-10, 00:12;10/07/2025
26193673;3161751;7797431;acceptable;80;iron;2025-7-10, 00:12;10/07/2025
26193672;3161844;7797431;acceptable;419,1;iron;2025-7-10, 00:12;10/07/2025
26193678;3162248;483459;acceptable;329,1;hero;2025-7-10, 00:13;10/07/2025
26193683;3161257;7797431;acceptable;870;iron;2025-7-10, 00:14;10/07/2025
26193682;3161421;7797431;acceptable;870;iron;2025-7-10, 00:14;10/07/2025
26193687;3160130;9563950;acceptable;42,99;bronze;2025-7-10, 00:15;10/07/2025
26193684;3161232;7797431;acceptable;;iron;2025-7-10, 00:15;10/07/2025
26193686;3161887;5799634;acceptable;169,07;hero;2025-7-10, 00:15;10/07/2025
26193708;3162198;2441486;acceptable;;bronze;2025-7-10, 00:23;10/07/2025
26193714;3161755;9979248;acceptable;36;silver;2025-7-10, 00:24;10/07/2025
26193743;3160423;9979248;acceptable;;silver;2025-7-10, 00:33;10/07/2025
26193752;3162266;7960518;acceptable;1420,99;platinum;2025-7-10, 00:35;10/07/2025
26193769;3161362;1286184;acceptable;258;iron;2025-7-10, 00:40;10/07/2025
26193785;3162317;152829;acceptable;80;platinum;2025-7-10, 00:45;10/07/2025
26193794;3162008;1538497;acceptable;2853,84;bronze;2025-7-10, 00:48;10/07/2025
26193821;3162315;2164573;acceptable;68;bronze;2025-7-10, 00:58;10/07/2025
26193818;3162317;714220;acceptable;;silver;2025-7-10, 00:58;10/07/2025
26193828;3162198;4581049;acceptable;372,91;hero;2025-7-10, 01:00;10/07/2025
26193839;3162106;8965749;acceptable;330;bronze;2025-7-10, 01:05;10/07/2025
26193844;3162248;8965749;acceptable;240;bronze;2025-7-10, 01:07;10/07/2025
26193845;3162317;1378023;acceptable;32;silver;2025-7-10, 01:08;10/07/2025
26193847;3162317;8193368;acceptable;73,45;platinum;2025-7-10, 01:09;10/07/2025
26193858;3162321;5138654;acceptable;;iron;2025-7-10, 01:13;10/07/2025
26193869;3162164;10402078;acceptable;510;hero;2025-7-10, 01:20;10/07/2025
26193886;3161971;9777189;acceptable;519;gold;2025-7-10, 01:29;10/07/2025
26193906;3162317;9777189;acceptable;347,1;gold;2025-7-10, 01:40;10/07/2025
26193915;3162198;4023614;acceptable;160;iron;2025-7-10, 01:46;10/07/2025
26193916;3162266;9146709;acceptable;517,98;gold;2025-7-10, 01:46;10/07/2025
26193937;3161362;10507682;acceptable;;iron;2025-7-10, 01:55;10/07/2025
26193939;3159337;10566820;acceptable;477,8;iron;2025-7-10, 01:56;10/07/2025
26193959;3161362;2999147;acceptable;160;platinum;2025-7-10, 02:08;10/07/2025
26193961;3162160;5089261;acceptable;50,01;bronze;2025-7-10, 02:10;10/07/2025
26193964;3162146;2474864;acceptable;250,76;iron;2025-7-10, 02:11;10/07/2025
26193974;3161887;1666230;acceptable;174,6;hero;2025-7-10, 02:18;10/07/2025
26193981;3162008;10534200;acceptable;;iron;2025-7-10, 02:26;10/07/2025
26193988;3162008;9041311;acceptable;1590;bronze;2025-7-10, 02:31;10/07/2025
26193993;3162295;4075081;acceptable;2669,99;iron;2025-7-10, 02:40;10/07/2025
26194001;3162317;2233095;acceptable;24,07;bronze;2025-7-10, 02:49;10/07/2025
26194013;3162106;2233095;acceptable;120,37;bronze;2025-7-10, 02:54;10/07/2025
26194024;3161844;4075081;acceptable;200;iron;2025-7-10, 03:03;10/07/2025
26194027;3162138;10141021;acceptable;463,2;iron;2025-7-10, 03:06;10/07/2025
26194030;3161604;4023614;acceptable;80;iron;2025-7-10, 03:10;10/07/2025
26194035;3161844;6954628;acceptable;330;iron;2025-7-10, 03:12;10/07/2025
26194043;3162295;1498770;acceptable;1769,95;bronze;2025-7-10, 03:22;10/07/2025
26194044;3162266;3421328;acceptable;870;bronze;2025-7-10, 03:23;10/07/2025
26194053;3162266;10587968;acceptable;2128,2;iron;2025-7-10, 03:27;10/07/2025
26194054;3161826;1498770;acceptable;689,98;bronze;2025-7-10, 03:28;10/07/2025
26194060;3161232;1498770;acceptable;689,98;bronze;2025-7-10, 03:35;10/07/2025
26194061;3161971;8666161;acceptable;;hero;2025-7-10, 03:36;10/07/2025
26194065;3162076;7784454;acceptable;57,32;iron;2025-7-10, 03:38;10/07/2025
26194069;3160405;7784454;acceptable;;iron;2025-7-10, 03:40;10/07/2025
26194073;3162248;117966;acceptable;;silver;2025-7-10, 03:42;10/07/2025
26194082;3162295;9875873;acceptable;1589,95;gold;2025-7-10, 03:44;10/07/2025
26194091;3162008;9323453;acceptable;2670;iron;2025-7-10, 03:48;10/07/2025
26194092;3162351;9875873;acceptable;;gold;2025-7-10, 03:48;10/07/2025
26194093;3162354;117966;acceptable;300;silver;2025-7-10, 03:48;10/07/2025
26194096;3162069;545529;acceptable;;bronze;2025-7-10, 03:51;10/07/2025
26194133;3162351;10145186;acceptable;510;iron;2025-7-10, 04:15;10/07/2025
26194145;3161362;10640795;acceptable;51,73;iron;2025-7-10, 04:21;10/07/2025
26194150;3162138;4075081;acceptable;420;iron;2025-7-10, 04:23;10/07/2025
26194194;3157390;10640795;acceptable;37,62;iron;2025-7-10, 04:48;10/07/2025
26194192;3161604;5074324;acceptable;24;hero;2025-7-10, 04:48;10/07/2025
26194201;3161778;5074324;acceptable;24;hero;2025-7-10, 04:50;10/07/2025
26194210;3162007;5074324;acceptable;48;hero;2025-7-10, 05:00;10/07/2025
26194212;3161887;903935;acceptable;;bronze;2025-7-10, 05:02;10/07/2025
26194213;3162266;5074324;acceptable;510;hero;2025-7-10, 05:02;10/07/2025
26194225;3162347;10414531;acceptable;780;iron;2025-7-10, 05:18;10/07/2025
26194231;3162295;3477120;acceptable;2670;bronze;2025-7-10, 05:30;10/07/2025
26194243;3162266;3477120;acceptable;;bronze;2025-7-10, 05:41;10/07/2025
26194253;3162274;9770858;acceptable;25,8;bronze;2025-7-10, 05:50;10/07/2025
26194268;3161443;7799654;acceptable;120;silver;2025-7-10, 06:02;10/07/2025
26194272;3162423;8666161;acceptable;187,73;hero;2025-7-10, 06:04;10/07/2025
26194273;3162295;7142118;acceptable;2670;bronze;2025-7-10, 06:05;10/07/2025
26194275;3161971;3421328;acceptable;870;bronze;2025-7-10, 06:06;10/07/2025
26194287;3162351;7142118;acceptable;;bronze;2025-7-10, 06:11;10/07/2025
26194290;3162340;7142118;acceptable;;bronze;2025-7-10, 06:13;10/07/2025
26194292;3162008;3477120;acceptable;2670;bronze;2025-7-10, 06:16;10/07/2025
