id;slug;name
67;it-programming;IT & Programming
68;net;.NET
69;abap;ABAP
70;adobe-acrobat;Adobe Acrobat
71;actionscript;ActionScript
72;active-directory;Active Directory
73;adonet;ADONET
74;adobe-air;Adobe AIR
75;ajax;AJAX
76;amazon-web-services;Amazon Web Services
77;amember;aMember
78;android;Android
79;antispam-and-antivirus;Antispam and Antivirus
80;apache;Apache
81;api;API
82;articulate;Articulate
83;asp;ASP
84;aspnet;ASPNET
85;assembla;Assembla
86;asterisk;Asterisk
87;atom;Atom
88;bada;Bada
89;blackberry;BlackBerry
90;bluetooth;Bluetooth
91;boxnet;Boxnet
92;bpcs;BPCS
93;buddypress;BuddyPress
94;businessobjects;BusinessObjects
95;c;C
96;c-shell;C Shell
97;c-1;C#
98;c-2;C++
99;cakephp;CakePHP
100;caspio;Caspio
101;ccna;CCNA
102;cdma;CDMA
103;centos;CentOS
104;central-desktop;Central Desktop
105;checkpoint;Checkpoint
106;cisco;Cisco
107;citrix;Citrix
108;cobol;COBOL
109;cocoa;Cocoa
110;codeigniter;CodeIgniter
111;codesion;Codesion
112;cognos;Cognos
113;coldfusion;ColdFusion
114;compiler;Compiler
115;computer-graphics;Computer Graphics
116;content-management-system;Content Management System
117;corba;CORBA
118;cpanel;cPanel
119;craigslist;Craigslist
120;crm;CRM
121;crystal-reports;Crystal Reports
122;cs-cart;CS-Cart
123;css;CSS
124;curl;cURL
125;data-modeling;Data Modeling
126;data-structures;Data Structures
127;data-warehousing;Data Warehousing
128;database;Database
129;db2;DB2
130;dbase;dBase
131;delphi;Delphi
132;desktop-apps;Desktop apps
133;desktop-support;Desktop Support
134;dhtml;DHTML
135;dimdim;Dimdim
136;django;Django
137;dos;DOS
138;dot-net-nuke;Dot Net Nuke
139;dotnet;DotNet
140;dotnet-20;DotNet 20
141;dropio;Dropio
142;drupal;Drupal
143;e4x;E4X
144;ebay-web-services;eBay Web Services
145;eclipse;Eclipse
146;e-commerce;E-commerce
147;ejb;EJB
148;elgg;Elgg
149;embedded-system;Embedded System
150;erlang;Erlang
151;erp;ERP
152;ext-gwt;Ext GWT
153;ext-js;Ext JS
154;facebook;Facebook
155;ffmpeg;FFmpeg
156;filemaker;FileMaker
157;firewall;FireWall
158;adobe-flash;Adobe Flash
159;adobe-flex;Adobe Flex
160;foursquare;Foursquare
161;foxpro;FoxPro
162;ftp;FTP
163;game-development;Game Development
164;game-programming;Game Programming
165;geolocation;Geolocation
166;google-app-engine;Google App Engine
167;google-go;Google Go
168;google-maps;Google Maps
169;google-web-toolkit;Google Web Toolkit
170;haskell;Haskell
171;hibernate;Hibernate
172;honeycomb;Honeycomb
173;html;HTML
174;html5;HTML5
175;hyperion;Hyperion
176;it;IT
177;informix;Informix
178;infusionsoft;Infusionsoft
179;internet-information-services;Internet Information Services
180;internet-security;Internet Security
181;interspire;Interspire
182;ios;iOS
183;ipad;iPad
184;iphone;iPhone
185;j2ee;J2EE
186;j2me;J2ME
187;java;Java
188;javascript;JavaScript
189;jboss;Jboss
190;jdbc;JDBC
191;jetpack;Jetpack
192;jomsocial;JomSocial
193;joomla;Joomla!
194;jquery;jQuery
195;jsharp;JSharp
196;json;JSON
197;jsp;JSP
198;juniper;Juniper
199;kernel;Kernel
200;labview;LabVIEW
201;labwindows-cvi;LabWindows/CVI
202;lamp;LAMP
203;lawson;Lawson
204;liferay;Liferay
205;link-building;Link Building
206;linkedin;LinkedIn
207;linux;Linux
208;mac-os;Mac OS
209;mac-os-x;Mac OS X
210;magento;Magento
211;matlab;MATLAB
212;microsoft-access;Microsoft Access
213;microsoft-azure;Microsoft Azure
214;microsoft-commerce-server;Microsoft Commerce Server
215;microsoft-dynamics;Microsoft Dynamics
216;microsoft-dynamics-ax;Microsoft Dynamics AX
217;microsoft-dynamics-crm;Microsoft Dynamics CRM
218;microsoft-dynamics-gp;Microsoft Dynamics GP
219;microsoft-dynamics-nav;Microsoft Dynamics NAV
220;microsoft-dynamics-sl;Microsoft Dynamics SL
221;microsoft-lync;Microsoft Lync
222;microsoft-office-live-web-design;Microsoft Office Live Web Design
223;microsoft-sharepoint;Microsoft Sharepoint
224;microsoft-silverlight;Microsoft Silverlight
225;microsoft-system-center;Microsoft System Center
226;microsoft-transaction-server;Microsoft Transaction Server
227;microsoft-visual-studio;Microsoft Visual Studio
228;mobile-development;Apps programming. Android, iOS and others
229;modx;MODx
230;moodle;Moodle
231;mootools;MooTools
232;mt4;MT4
233;myspace;MySpace
234;mysql;MySQL
235;netbeans;NetBeans
236;netsuite;NetSuite
237;network-administrator;Network Administrator
238;network-analyst;Network Analyst
239;network-architect;Network Architect
240;network-engineer;Network Engineer
241;network-manager;Network Manager
242;network-programming;Network Programming
243;network-specialist;Network Specialist
244;networking-design;Networking Design
245;ning;Ning
246;node-js;Node.js
247;objective-c;Objective-C
248;olap;OLAP
249;oops;OOPS
250;oovoo;ooVoo
251;opengl;OpenGL
252;opensocial;OpenSocial
253;opentok;OpenTok
254;oracle;Oracle
255;oracle-10g;Oracle 10g
256;oracle-11g;Oracle 11g
257;oracle-9i;Oracle 9i
258;oracle-database-security;Oracle Database Security
259;oracle-dba;Oracle DBA
260;oracle-forms;Oracle Forms
261;oracle-fusion;Oracle Fusion
262;oracle-fusion-middleware;Oracle Fusion Middleware
263;oracle-mysql;Oracle MySQL
264;oracle-pl-sql;Oracle PL/SQL
265;oracle-solaris-10;Oracle Solaris 10
266;oracle-solaris-11;Oracle Solaris 11
267;oracle-weblogic-server;Oracle WebLogic Server
268;oscommerce;osCommerce
269;palm;Palm
270;paypal;PayPal
271;pbworks;PBworks
272;peoplesoft;PeopleSoft
273;perl;Perl
274;php;PHP
275;phpbb;PHPBB
276;pl-sql;PL/SQL
277;plesk;Plesk
278;pligg;Pligg
279;posterous;Posterous
280;postgressql;PostgresSQL
281;power-builder;Power Builder
282;powershell;PowerShell
283;prestashop;PrestaShop
284;programming-aptitude;Programming Aptitude
285;protoshare;ProtoShare
286;prototype-javascript-framework;Prototype JavaScript Framework
287;python;Python
288;qa;QA
289;qt;Qt
290;rdf;RDF
291;realbasic;REALBasic
292;rpg;RPG
293;rss;RSS
294;rtml;RTML
295;ruby;Ruby
296;ruby-on-rails;Ruby on Rails
297;salesforcecom;Salesforcecom
298;sap;SAP
299;sas-business-analytics;SAS Business Analytics
300;scala;Scala
301;scripts-utilities;Scripts & Utilities
302;security-analyst;Security Analyst
303;security-engineer;Security Engineer
304;security-infrastructure-architect;Security Infrastructure Architect
305;sencha;Sencha
306;sencha-touch;Sencha Touch
307;seo;SEO
308;shopify;Shopify
309;siebel;Siebel
310;skype;Skype
311;smarty;Smarty
312;soap;SOAP
313;social-media-optimization;Social Media Optimization
314;social-networking;Social Networking
315;software-testing;Software Testing
316;solaris;Solaris
317;sql;SQL
318;sql-lite;SQL Lite
319;sql-server;SQL Server
320;struts;Struts
321;subversion;Subversion
322;sugarcrm;SugarCRM
323;sungard;SunGard
324;sybase;Sybase
325;symbian;Symbian
326;symfony;Symfony
327;system-analysis;System Analysis
328;system-programming;System Programming
329;tcl-tk;Tcl/Tk
330;tcp-ip;TCP/IP
331;technical-support;Technical Support
332;testing;Testing
333;tokbox;TokBox
334;tomcat;Tomcat
335;twilio;Twilio
336;twitter;Twitter
337;typepad;TypePad
338;typo3;TYPO3
339;ubercart;Ubercart
340;unix;Unix
341;vbnet;VB.NET
342;vba;VBA
343;vbulletin;Vbulletin
344;virtuemart;VirtueMart
345;visual-basic;Visual Basic
346;voip;VOIP
347;volusion;Volusion
348;vpn;VPN
349;vtiger;vtiger
350;web-security-manager;Web Security Manager
351;web-services;Web Services
352;weblogic;WebLogic
353;websphere;WebSphere
354;whmcs;WHMCS
355;wi-fi;Wi-Fi
356;windows;Windows
357;windows-7;Windows 7
358;windows-8;Windows 8
359;windows-mobile;Windows Mobile
360;windows-phone;Windows Phone
361;windows-vista;Windows Vista
362;wordpress;WordPress
363;x-cart;X-Cart
364;xcode;Xcode
365;xhtml;XHTML
366;xml;XML
367;xslt;XSLT
368;yahoo-developer-skills;Yahoo Developer Skills
369;yahoo-store;Yahoo Store
370;yaml;YAML
371;yola;Yola
372;youtube;YouTube
373;zen-cart;Zen Cart
374;zend;Zend
375;zoho-creator;Zoho Creator
376;writing-translation;Writing & Translation
377;academic-writing;Academic Writing
378;arabic-translation;Arabic Translation
379;article-writing;Article Writing
380;blogs;Blogs
381;portuguese-translation;Portuguese Translation
382;business-writing;Business Writing
383;children-s-writing;Children's Writing
384;chinese-translation;Chinese Translation
385;article-writing-1;Article writing
386;copywriting;Copywriting
387;creative-writing;Creative Writing
388;danish-translation;Danish Translation
389;dutch-translation;Dutch Translation
390;ebooks;eBooks
391;editing;Editing
392;feature-writing;Feature Writing
393;fiction-writing;Fiction Writing
394;financial-writing;Financial Writing
395;french-translation;French Translation
396;german-translation;German Translation
397;ghostwriting;Ghostwriting
398;grammar;Grammar
399;italian-translation;Italian Translation
400;japanese-translation;Japanese Translation
401;journalistic-writing;Journalistic Writing
402;korean-translation;Korean Translation
403;legal-writing;Legal Writing
404;lyric-writing;Lyric Writing
405;mandarin-translation;Mandarin Translation
406;medical-writing;Medical Writing
407;microsoft-word;Microsoft Word
408;newsletters;Newsletters
409;non-fiction-writing;Non-Fiction Writing
410;norwegian-translation;Norwegian Translation
411;online-writing;Online Writing
412;poetry;Poetry
413;polish-translation;Polish Translation
414;press-release;Press Release
415;proofreading;Proofreading
416;proposal-writing;Proposal Writing
417;punctuation;Punctuation
418;report-writing;Report Writing
419;resume-writing;Resume Writing
420;russian-translation;Russian Translation
421;sales-letters;Sales Letters
422;sales-writing;Sales Writing
423;screenwriting;Screenwriting
424;script-writing;Script Writing
425;spanish-translation;Spanish Translation
426;speech-writing;Speech Writing
427;spelling;Spelling
428;sports-writing;Sports Writing
429;swedish-translation;Swedish Translation
430;technical-writing;Technical Writing
431;travel-writing;Travel Writing
432;ukrainian-translation;Ukrainian Translation
433;user-guides;User Guides
434;web-content;Web Content
435;word-processing;Word Processing
436;wordperfect;WordPerfect
437;design-multimedia;Design & Multimedia
438;3d;3d
439;adobe-after-effects;Adobe After Effects
440;animation;Animation
441;art-direction;Art Direction
442;audio-editing;Audio Editing
443;avid;Avid
444;banners;Banners
445;business-card-design;Business Card Design
446;calligraphy;Calligraphy
447;camtasia;Camtasia
448;cartoon;Cartoon
449;cinema-4d;Cinema 4D
450;corel-ventura;Corel Ventura
451;coreldraw;Coreldraw
452;corporate-brand-identity;Corporate Brand Identity
453;cover-design;Cover Design
454;adobe-creative-suite;Adobe Creative Suite
455;digital-photography;Digital Photography
456;adobe-director;Adobe Director
457;adobe-dreamweaver;Adobe Dreamweaver
458;dvd-studio-pro;DVD Studio Pro
459;electronic-design;Electronic Design
460;ext-designer;Ext Designer
461;fashion-design;Fashion Design
462;final-cut;Final Cut
463;adobe-fireworks;Adobe Fireworks
464;adobe-framemaker;Adobe Framemaker
465;adobe-freehand;Adobe Freehand
466;frontpage;Frontpage
467;graphic-design;Graphic Design
468;illustration;Illustration
