id;project_id;bid_id;worker_id;unread_employer;unread_worker;total_messages;favorite;last_by;created;created_at
35323457;3155332;26135191;8540364;0;0;1;FALSO;worker;2025-7-3, 09:39;03/07/2025
35325047;3155332;26136469;2255010;0;0;13;FALSO;worker;2025-7-3, 11:19;03/07/2025
35326657;3155332;26137250;10557928;0;0;1;FALSO;worker;2025-7-3, 12:57;03/07/2025
35327426;3155332;26137773;6232621;0;0;1;FALSO;worker;2025-7-3, 13:48;03/07/2025
35327812;3155332;26137999;4682;0;0;1;FALSO;worker;2025-7-3, 14:10;03/07/2025
35333119;3155332;26141454;9876182;1;0;1;FALSO;worker;2025-7-3, 20:09;03/07/2025
35334213;3155332;26142233;1635096;2;0;2;FALSO;worker;2025-7-3, 22:03;03/07/2025
35343752;3155332;26148702;10554756;1;0;1;FALSO;worker;2025-7-4, 17:18;04/07/2025
35417460;3155332;26198617;10483599;1;0;1;FALSO;worker;2025-7-10, 14:47;10/07/2025
35323703;3155349;26135386;568130;0;0;1;FALSO;worker;2025-7-3, 09:59;03/07/2025
35323556;3155349;26135519;6749149;0;0;32;FALSO;worker;2025-7-3, 09:45;03/07/2025
35323696;3155349;26135627;334730;0;0;40;FALSO;employer;2025-7-3, 09:58;03/07/2025
35323941;3155371;26135533;5619149;0;0;6;FALSO;worker;2025-7-3, 10:16;03/07/2025
35325287;3155371;26136343;147957;0;0;1;FALSO;worker;2025-7-3, 11:32;03/07/2025
35326802;3155371;26137342;10410463;0;0;1;FALSO;worker;2025-7-3, 13:07;03/07/2025
35327736;3155371;26137959;9751713;0;0;1;FALSO;worker;2025-7-3, 14:06;03/07/2025
35331222;3155371;26140200;879106;0;0;1;FALSO;worker;2025-7-3, 17:35;03/07/2025
35325205;3155383;26136295;5924283;0;0;1;FALSO;worker;2025-7-3, 11:28;03/07/2025
35327307;3155383;26137699;9813352;0;0;3;FALSO;worker;2025-7-3, 13:41;03/07/2025
35324177;3155397;26135646;6019718;0;0;1;FALSO;worker;2025-7-3, 10:25;03/07/2025
35335751;3155397;26143260;1635096;0;0;2;FALSO;worker;2025-7-4, 03:12;04/07/2025
35336152;3155397;26143543;541859;0;0;1;FALSO;worker;2025-7-4, 06:04;04/07/2025
35324764;3155409;26135982;149646;0;0;17;FALSO;worker;2025-7-3, 10:59;03/07/2025
35325663;3155409;26136602;4887573;2;0;4;FALSO;worker;2025-7-3, 11:53;03/07/2025
35327873;3155409;26138036;9193970;0;0;1;FALSO;worker;2025-7-3, 14:13;03/07/2025
35333949;3155409;26142027;5443087;0;0;1;FALSO;worker;2025-7-3, 21:32;03/07/2025
35324710;3155440;26135952;5871553;0;0;1;FALSO;worker;2025-7-3, 10:56;03/07/2025
35324777;3155440;26135992;6044239;0;0;1;FALSO;worker;2025-7-3, 10:59;03/07/2025
35324823;3155440;26136033;9774223;0;0;2;FALSO;worker;2025-7-3, 11:02;03/07/2025
35325048;3155440;26136195;4620747;1;0;5;FALSO;worker;2025-7-3, 11:19;03/07/2025
35325531;3155440;26136525;3116390;0;0;1;FALSO;worker;2025-7-3, 11:47;03/07/2025
35325999;3155440;26136802;10545895;0;0;1;FALSO;worker;2025-7-3, 12:14;03/07/2025
35326141;3155440;26136894;9999918;0;0;57;FALSO;worker;2025-7-3, 12:22;03/07/2025
35326406;3155440;26137075;10385674;0;0;1;FALSO;worker;2025-7-3, 12:41;03/07/2025
35324906;3155440;26137375;9703115;0;0;13;FALSO;worker;2025-7-3, 11:08;03/07/2025
35327138;3155440;26137585;384530;0;0;1;FALSO;worker;2025-7-3, 13:29;03/07/2025
35328810;3155440;26138555;8797289;0;0;1;FALSO;worker;2025-7-3, 15:00;03/07/2025
35333430;3155440;26141660;4435704;1;0;6;FALSO;worker;2025-7-3, 20:35;03/07/2025
35337091;3155440;26144230;10466326;1;0;2;FALSO;worker;2025-7-4, 09:09;04/07/2025
35338936;3155440;26145446;7565659;1;0;1;FALSO;worker;2025-7-4, 11:30;04/07/2025
35381343;3155440;26174419;660976;1;0;1;FALSO;worker;2025-7-8, 09:48;08/07/2025
35325024;3155446;26136183;10500240;0;0;1;FALSO;worker;2025-7-3, 11:17;03/07/2025
35325134;3155446;26136246;57;0;0;1;FALSO;worker;2025-7-3, 11:23;03/07/2025
35325446;3155446;26136458;10509601;0;0;1;FALSO;worker;2025-7-3, 11:41;03/07/2025
35328647;3155446;26138463;5088529;0;0;1;FALSO;worker;2025-7-3, 14:52;03/07/2025
35335749;3155446;26143258;1635096;0;0;11;FALSO;employer;2025-7-4, 03:12;04/07/2025
35343714;3155446;26148681;10554756;0;0;1;FALSO;worker;2025-7-4, 17:15;04/07/2025
35324737;3155446;26149640;714220;0;0;6;FALSO;worker;2025-7-3, 10:57;03/07/2025
35355747;3155446;26156560;8755813;0;0;10;FALSO;employer;2025-7-6, 12:49;06/07/2025
